Protocol,Sub_Sector,Daily_Revenue_USD,7d_Revenue_USD,30d_Revenue_USD
Tether,Stablecoin Issuer,16585600.0,114715893.0,482159032.0
Circle USDC,Stablecoin Issuer,6766127.0,46844813.0,195034308.0
Canton,Chain,1488215.0,10936092.0,49946183.0
GMGN,Telegram Bot,1058290.0,12135256.0,41607214.0
Hyperliquid Perps,Derivatives,1032831.0,9503329.0,57149431.0
Pons V2,Launchpad,1020298.0,7681012.0,19795348.0
fomo Wallet,Trading App,880852.0,9012342.0,26761367.0
pump.fun,Launchpad,771378.0,6114761.0,34062949.0
Axiom,Trading App,700005.0,6223087.0,24150970.0
StonkFun,Launchpad,662715.0,7386821.0,9933046.0
Tron,Chain,584839.0,5597092.0,23747139.0
Grayscale,RWA,572778.0,4061202.0,16833145.0
Sky Lending,CDP,453119.0,3106690.0,13441297.0
Robinhood Chain,Chain,436306.0,7228991.0,33225070.0
Polymarket International,Prediction Market,399653.0,4194914.0,16982756.0
Collector Crypt,Physical TCG,397759.0,2846366.0,9195983.0
World Liberty Financial,Lending,386272.0,2654585.0,10792702.0
PumpSwap,Dexs,332589.0,2705246.0,15174155.0
Uniswap V3,Dexs,315187.0,3883074.0,14161255.0
Paxos Stablecoin Issuer,Stablecoin Issuer,296505.0,2104596.0,8770605.0
Ripple USD,Stablecoin Issuer,230059.0,1591185.0,6021511.0
Phantom Wallet,Wallets,200527.0,1732128.0,7352362.0
Flap sh,Launchpad,186526.0,2418846.0,11999812.0
DEX Screener,Coins Tracker,176717.0,1525998.0,5438427.0
Aave V3,Lending,148124.0,1076609.0,4570584.0
Aerodrome Slipstream,Dexs,144485.0,8932258.0,12706732.0
Jupiter Aggregator,DEX Aggregator,139917.0,1238676.0,4202530.0
Raydium AMM,Dexs,130271.0,1667400.0,3189116.0
BONK.fun Launchpad,Launchpad,122923.0,1098980.0,1323246.0
Fidelity Crypto Fund,CeDeFi,103721.0,737346.0,2997687.0
Lido,Liquid Staking,100374.0,717230.0,2877723.0
PancakeSwap AMM V3,Dexs,97851.0,1912654.0,5224958.0
Pacifica Perps,Derivatives,91124.0,739498.0,3422120.0
Terminal,Telegram Bot,83240.0,668409.0,2740102.0
Meteora DLMM,Dexs,83082.0,705658.0,1859831.0
Graphite Protocol,Launchpad,81896.0,733100.0,883932.0
Solana,Chain,79294.0,596610.0,2413707.0
Titan Builder,Block Builders,79004.0,1004813.0,4718537.0
ORE Protocol,Gamified Mining,74726.0,476772.0,2549297.0
pump.fun Mobile App,Interface,74554.0,721326.0,3288087.0
Base,Chain,66437.0,2131096.0,5184923.0
Polygon,Chain,66055.0,479424.0,2226274.0
Blockchain Capital,RWA,65888.0,461143.0,1972132.0
edgeX V2,Derivatives,65806.0,676466.0,3123132.0
Binance staked ETH,Liquid Staking,62226.0,438558.0,1877654.0
SLVR,Gamified Mining,61786.0,343837.0,986283.0
ether.fi Stake,Liquid Staking,61384.0,422907.0,1775516.0
Pons V1,Launchpad,60516.0,309402.0,1610312.0
Courtyard,Physical TCG,57410.0,520588.0,2253918.0
Jupiter Perpetual Exchange,Derivatives,56947.0,404489.0,2504314.0
MetaMask Wallet,Wallets,55723.0,536189.0,2442599.0
Lighter Perps,Derivatives,52280.0,508817.0,3044033.0
LaunchLab,Launchpad,49729.0,464086.0,583438.0
EtherFi Cash Liquid,Crypto Card Issuer,49454.0,396889.0,1622544.0
Propr,Trading App,48680.0,351629.0,1263104.0
Predict Fun,Prediction Market,43092.0,278285.0,945642.0
Binance Alpha,Launchpad,41435.0,718503.0,2227153.0
SolvBTC,Bridge,39532.0,278632.0,1153803.0
Arbitrum Nitro,Foundation,38702.0,642497.0,2941119.0
tradeXYZ,Interface,38295.0,465897.0,2441892.0
Maestro,Telegram Bot,38031.0,366828.0,1348993.0
BSC,Chain,37809.0,613148.0,2072780.0
TRONSAVE,Services,37588.0,240483.0,942337.0
Fragment,NFT Marketplace,36390.0,-194206.0,-3684760.0
PancakeSwap AMM,Dexs,36346.0,488327.0,1856072.0
AZverse Perps,Derivatives,36297.0,351610.0,1677668.0
MetaMask Perps,Interface,35661.0,329472.0,1591779.0
Base App,Wallets,35397.0,309797.0,1007238.0
Lighter Robinhood Perps,Derivatives,35253.0,341149.0,1037179.0
GMTrade,Derivatives,34230.0,208391.0,797684.0
Hyperliquid Spot Orderbook,Dexs,34036.0,394737.0,2338750.0
Ethereum,Chain,33894.0,469073.0,2762449.0
NEAR Intents,Bridge,32298.0,219357.0,1072082.0
Veda,Onchain Capital Allocator,31925.0,210410.0,850259.0
Orca DEX,Dexs,30228.0,389126.0,1024979.0
Hyper Foundation HYPE Staking,Staking Pool,30143.0,221174.0,916192.0
up v3,Dexs,28422.0,297803.0,1410769.0
Meteora DAMM V2,Dexs,27773.0,220207.0,602285.0
o1 Launchpad,Launchpad,27722.0,471300.0,2704208.0
Gacha TCG,SoFi,27166.0,115693.0,666301.0
HASHCATS,Gamified Mining,27089.0,629773.0,629773.0
Attention Mine,Gamified Mining,27055.0,222247.0,222247.0
Native Core CLOB,Dexs,26989.0,166274.0,657821.0
Geodnet,Oracle,26908.0,187905.0,874608.0
Decibel,Derivatives,26203.0,101140.0,452177.0
Trust Wallet Perps,Interface,25962.0,309330.0,1314311.0
Trojan,Telegram Bot,24514.0,188656.0,876895.0
Binance Staked SOL,Liquid Staking,24490.0,119287.0,459469.33
Virtuals Protocol,AI Agents,24243.0,120371.0,666446.0
Sentora Curator,Risk Curators,21659.0,156560.0,679728.0
Venus Core Pool,Lending,21531.0,111241.0,426988.0
Phantom Perps,Interface,20495.0,179779.0,1169446.0
Pharaoh V3,Dexs,19419.0,191705.0,611862.0
Catapult Trade,Derivatives,19398.0,134153.0,577599.0
crvUSD,CDP,18959.0,36519.0,74807.0
Derive Options,Options,18767.0,81320.0,394481.0
Arrakis Modular,Liquidity Manager,18751.0,68071.0,390554.0
CARDZ.GAME,Physical TCG,18642.0,114568.0,289906.0
Kamino Lend,Lending,18049.0,130727.0,580146.0
Spiko,RWA,17292.0,122616.0,511692.0
Definitive,DEX Aggregator,17191.0,183174.0,618175.0
Stargate V2,Cross Chain Bridge,17169.0,119834.0,319895.0
Antarctic,Derivatives,16986.0,231627.0,828963.0
Opensea Seaport,NFT Marketplace,16959.0,179560.0,821787.0
BlackRock BUIDL,RWA,16935.0,120174.0,511256.0
Nado Perps,Derivatives,16248.0,180220.0,915910.0
SparkLend,Lending,15958.0,109455.0,432707.0
Centrifuge Protocol,RWA,15230.0,108042.0,476452.0
Mayan DEX Aggregator,DEX Aggregator,14722.0,147156.0,689088.0
Gains Network,Derivatives,14639.0,123533.0,422783.0
TermiX,AI Agents,14456.0,55923.0,316976.31999999995
TxFlow Perps,Derivatives,14064.0,106131.0,725821.0
Steakhouse Financial,Risk Curators,13844.0,102304.0,383290.0
Venice,Farm,13520.0,471245.0,788052.0
Anchorage By Figment HYPE Staking,Staking Pool,13477.0,102895.0,431730.0
SoSoValue Indexes,Indexes,13253.0,191730.0,1645854.0
Peapods Finance,Yield,13215.0,1.3,2.3199999999999994
CoWSwap,DEX Aggregator,13188.0,269166.0,1147590.0
fomo Perps,Interface,12752.0,130932.0,750117.0
Aerodrome V1,Dexs,12249.0,264318.0,789915.0
Ramses CL V2,Dexs,12035.0,94261.0,379560.0
Hyperliquid L1,Chain,11714.0,175357.0,1834400.0
Hydrex Integral,Dexs,11610.0,58774.0,241000.0
HumidiFi,Dexs,11573.0,73944.0,394234.25
Arbitrum,Chain,11328.0,107579.0,440977.0
PredictStreet,Prediction Market,11265.0,392910.0,875007.38
Jito DAO,DAO Service Provider,11172.0,93006.0,372845.0
Gemint,Physical TCG,10569.0,57177.0,284430.0
SoDEX Perps,Derivatives,10295.0,81870.0,209102.0
Fluid Lending,Lending,10279.0,100455.0,407315.0
THORChain DEX,Dexs,10243.0,93005.0,172078.47
Compound V3,Lending,10069.0,63593.0,212340.0
SSV Network,Staking Pool,10061.0,65674.0,274035.0
MetaMask Predictions,Interface,9664.0,241070.0,418285.0
WisdomTree,RWA,9504.0,66639.0,181054.0
deBridge,Bridge,9462.0,132573.0,600185.0
Fake World Assets,Luck Games,9366.0,56236.0,731154.0
Sanctum Validator LSTs,Liquid Staking,9276.0,49675.0,208493.0
Bloom Trading Bot,Gaming,9257.0,59797.0,299327.0
PancakeSwap Infinity,Dexs,8950.0,90381.0,258798.0
Inverse Finance FiRM,CDP,8778.0,60203.0,218943.0
Monad,Chain,8452.0,75859.0,331130.0
Dolomite,Lending,8357.0,54032.0,225288.0
Primit Perps,Derivatives,8348.0,74381.0,235176.25
Kelp,Liquid Restaking,8324.0,24546.0,98646.0
Railgun,Privacy,8111.0,68431.0,336140.0
ENS,Domains,8068.0,47270.0,328951.0
Tonstakers LSD,Liquid Staking,8046.0,73784.0,330982.0
Coinbase Wrapped Staked ETH,Liquid Staking,8022.0,56801.0,231091.0
Pharaoh DLMM,Dexs,7927.0,219733.0,917129.0
Unit,Bridge,7905.0,82449.0,492262.0
Kraken Bitcoin Vault,Yield,7856.0,44566.0,177627.0
Quasar Builder,Block Builders,7827.0,75927.0,349021.0
Meteora Dynamic Bonding Curve,Launchpad,7810.0,43970.0,162619.0
Beezie,Physical TCG,7754.0,153902.0,968650.0
Photon,Trading App,7735.0,66903.0,605003.0
Sui Foundation,Canonical Bridge,7648.0,53425.0,226408.0
Saturn,Stablecoin Wrapper,7380.0,41978.0,246124.0
StonkBrokers,Launchpad,7359.0,118770.0,1055057.0
LI.FI Bridge Aggregator,Bridge Aggregator,7265.0,79348.0,347427.05
GMX V2 Perps,Derivatives,7102.0,88473.0,702752.0
Upshift,Onchain Capital Allocator,7093.0,42363.0,164552.0
BaseStonk,Launchpad,7019.0,58995.0,355877.0
Arcus Perps,Derivatives,6926.0,68415.0,339272.0
bloXroute,MEV,6918.0,54616.0,281913.0
nest CL,Dexs,6891.0,85298.0,547077.0
Velodrome V3,Dexs,6834.0,55462.0,254322.0
Ansem.io,Launchpad,6647.0,20147.28,2053425.28
Rabby Perps,Interface,6596.0,61382.0,297103.0
Injective,Chain,6455.0,47676.0,205842.0
USDD,CDP,6437.0,44904.0,421447.0
Project X,Dexs,6436.0,72057.0,370716.0
PulseX V1,Dexs,6399.0,48373.0,248938.0
Rainbow Wallet,Wallets,6369.0,51873.0,220655.0
DYLI,Physical TCG,6219.0,43121.0,288591.0
Mellow Restaking,Liquid Restaking,6199.0,23902.0,31601.0
ICP,Chain,6113.0,47624.0,161568.0
SX Bet,Prediction Market,6081.0,20352.0,37385.74
Route,DEX Aggregator,6061.0,38196.0,38196.0
Snuggle,Liquidity Manager,6038.0,81262.0,334205.0
Marinade Native,Staking Pool,6022.0,40100.0,139748.0
Flying Tulip Yield,Services,6017.0,27054.0,119171.0
Overtime,Prediction Market,6002.0,22854.0,100113.0
GIGA V3,Dexs,5976.0,88198.0,137365.0
Trust Wallet Wallet,Wallets,5911.0,76120.0,399086.0
Render Network BME,DePIN,5908.0,57983.0,192650.0
SynFutures V3,Derivatives,5868.0,51346.0,234844.0
PancakeSwap Prediction,Prediction Market,5865.0,44108.0,223835.0
Sat Rush,Gamified Mining,5824.0,44226.0,109614.0
Rabby Wallet,Wallets,5814.0,54079.0,247946.0
Kinetiq kHYPE,Liquid Staking,5804.0,43553.0,190341.0
Jupiter DCA,DCA Tools,5797.0,38281.0,102100.0
Liquid Collective,Liquid Staking,5662.0,39674.0,161673.0
Jupiter Lend,Lending,5618.0,43812.0,188721.0
Aark Digital,Derivatives,5446.0,78313.0,246740.0
HyperDash,Interface,5415.0,50316.0,131684.0
SushiSwap Agg,DEX Aggregator,5392.0,30329.0,162079.0
Minara AI Perps,Interface,5363.0,40907.0,170503.0
Jupiter Staked SOL,Liquid Staking,5346.0,28751.77,117534.74
Convex Finance,Yield,5321.0,81945.0,948485.0
Usual USD0,RWA,5303.0,89602.0,278521.0
moonshot.money,Trading App,5243.0,67813.0,295256.0
Immunefi,Services,5180.0,22165.0,93565.0
Immutable Orderbook,NFT Marketplace,5014.0,35153.0,147489.0
Privacy Cash,Privacy,4984.0,32449.0,110419.0
Tokenlon AMM,Dexs,4930.0,55562.0,349355.0
Aave V2,Lending,4866.0,29392.0,102684.0
GeckoTerminal,Interface,4836.0,25630.0,104017.0
AlloX,DEX Aggregator,4817.0,6086.0,52303.0
SHROOM Treasury,Liquidity Manager,4679.0,12665.0,12665.0
Olympus DAO,Reserve Currency,4616.0,30849.0,161995.0
Invo Perps,Interface,4610.0,48397.0,499863.0
mETH Protocol,Liquid Staking,4597.0,29755.0,109271.0
Miracle,Interface,4562.0,40149.0,166220.0
Bankr,Interface,4555.0,231371.63,668203.17
Pendle V2,Yield,4520.0,224699.0,580345.0
Fluid Lite,Yield Aggregator,4507.0,28524.0,105643.0
Perpl,Derivatives,4488.0,43016.0,280294.0
Rapid Launch,Launchpad,4467.0,28753.0,133816.0
ether.fi Liquid,Onchain Capital Allocator,4429.0,31114.0,117382.0
Sport.fun,Prediction Market,4421.0,36734.0,113804.0
GODL protocol,Gamified Mining,4305.0,44680.0,409517.0
Apex Omni,Derivatives,4222.0,39957.0,224322.0
fly.trade,Cross Chain Bridge,4220.0,44437.0,157627.0
Velodrome V2,Dexs,4217.0,27435.0,88793.0
Axie Infinity,Gaming,4201.0,27402.0,109644.0
Mantle Index Four Fund,RWA,4118.0,29087.0,116070.0
BULK,Derivatives,4043.0,11203.77,11203.77
NAVI Lending,Lending,3949.0,40189.0,274326.0
Lista CDP,CDP,3817.0,158883.0,275559.0
Jito MEV Tips,MEV,3807.0,36588.0,173965.0
Hylo Protocol,Dual-Token Stablecoin,3792.0,49172.0,164377.0
Squeeze,Launchpad,3769.0,40905.0,104039.39
Marinade Liquid Staking,Liquid Staking,3749.0,25843.0,102875.0
Bitflow,Dexs,3746.0,19897.0,76845.0
Trasia,Interface,3680.0,25236.0,122538.0
four.meme,Launchpad,3622.0,58338.0,295326.0
Liquid Perps,Interface,3619.0,33503.0,154553.0
PayCash,Dexs,3522.0,22087.0,71502.0
Quickswap Dex,Dexs,3509.0,30692.0,155910.0
SHROOM Token,Meme,3497.0,99617.0,556306.0
Bitway Earn,Basis Trading,3417.0,22594.0,117831.0
Aave V4,Lending,3396.0,22174.0,72477.0
Saphyre V3,Dexs,3373.0,32977.0,122687.0
Tread.fi Perps,Interface,3360.0,24570.0,81156.0
Kinetiq Markets,Interface,3235.0,32911.0,79029.0
Starknet,Chain,3228.0,51355.0,212328.0
dYdX V4,Derivatives,3213.0,41751.0,280309.0
Circle CCTP,Bridge,3204.0,37211.0,176058.0
Filecoin,Chain,3167.0,28377.0,68583.0
OneKey Perps,Interface,3150.0,19116.0,143433.0
Mass,Interface,3148.0,13249.0,66381.0
K3 Capital,Risk Curators,3083.0,19788.0,79309.0
BidGrid,Gamified Mining,3001.0,16324.0,176794.0
Marinade Select,Staking Pool,2999.0,20597.0,78079.0
HyperLend Pooled,Lending,2995.0,21040.0,107442.0
Aptos,Chain,2977.0,22275.0,92208.0
Lista Lending,Lending,2959.0,20412.0,279753.0
Securitize Tokenized AAA CLO Fund,RWA,2931.0,20508.0,87728.0
BONKbot,Telegram Bot,2922.0,13519.0,49988.0
Hyperliquid Strategies HYPE Staking,Staking Pool,2883.0,19546.0,71101.0
CIAN Yield Layer,Yield Aggregator,2880.0,20965.0,76178.0
Accountable,Uncollateralized Lending,2836.0,18530.0,97479.0
AlphaSec Spot,Dexs,2797.0,26006.0,138916.0
LP Agent,Liquidity Automation,2767.0,28514.0,60156.0
Resupply,Lending,2748.0,17372.0,77024.0
Cetus CLMM,Dexs,2727.0,23735.0,109350.0
Avant avUSD,Basis Trading,2623.0,19074.0,85965.0
Helio,Payments,2610.0,99954.0,158394.0
ADEN,Interface,2488.0,18079.0,83129.0
Abstract,Chain,2465.0,19915.0,116347.0
Compound V2,Lending,2456.0,14965.0,59470.0
Avalanche,Chain,2441.0,29180.0,123141.0
Invesco USTB,RWA,2438.0,17274.0,79559.0
Euler V2,Lending,2382.0,16506.0,44979.0
o1.exchange Trading Terminal,Trading App,2323.0,13335.0,54832.0
Ape Church,Luck Games,2312.0,18975.0,65352.0
Sentry,Launchpad,2311.0,24010.0,107982.0
Topaz CL,Dexs,2273.0,27391.0,63455.0
Wildcat Protocol,Uncollateralized Lending,2271.0,16072.0,71342.0
Streamflow,Payments,2271.0,66779.0,148202.0
THORSwap,DEX Aggregator,2270.0,39808.0,205869.0
Noon,Yield,2267.0,11015.0,48442.0
Telegram Wallet,Interface,2246.0,28448.0,224882.0
Ave.ai,Trading App,2219.0,14359.0,40349.0
Insilico Terminal,Interface,2117.0,34947.0,169082.0
Bitwise USCC,Basis Trading,2114.0,14251.0,47599.0
Nansen-HypurrCollective HYPE Staking,Staking Pool,2111.0,15517.0,63621.0
JPool,Liquid Staking,2001.0,10733.59,80662.59
OpenEden TBILL,RWA,1996.0,13992.0,60696.0
ASXN HYPE Staking,Staking Pool,1971.0,14785.0,61459.0
