Sub_Sector,Daily_Revenue_USD
Stablecoin Issuer,23880010.0
Launchpad,3083990.6
Chain,2863848.31
Trading App,1650387.0
Derivatives,1583726.55
Dexs,1491305.76
Telegram Bot,1208336.0
RWA,719619.05
Lending,673656.88
Physical TCG,499443.38
CDP,492881.87
Prediction Market,478020.46
Liquid Staking,327828.41
Wallets,309741.0
Interface,298315.12
Gamified Mining,205514.72
DEX Aggregator,204791.61
Coins Tracker,178630.0
CeDeFi,103721.0
Bridge,92475.13
Block Builders,86873.55
Staking Pool,81269.0
NFT Marketplace,59350.78
Crypto Card Issuer,49548.0
Services,48830.93
Risk Curators,47465.13
Onchain Capital Allocator,47161.01
AI Agents,40823.65
Yield,39845.8
Foundation,39147.0
Liquidity Manager,32255.52
SoFi,30353.21
Oracle,26908.55
Cross Chain Bridge,23348.32
Options,19704.75
Yield Aggregator,16310.3
Liquid Restaking,14909.11
Indexes,13778.0
Gaming,13557.55
Farm,13520.63
Privacy,13229.57
Luck Games,13191.72
DAO Service Provider,11172.0
MEV,11096.0
Bridge Aggregator,9682.0
Basis Trading,8692.89
Domains,8432.2
Canonical Bridge,7648.0
Stablecoin Wrapper,7380.0
Payments,7265.19
DePIN,6288.0
DCA Tools,5797.0
Uncollateralized Lending,5445.73
Reserve Currency,4616.01
Liquidity Automation,4426.0
Dual-Token Stablecoin,3792.0
Meme,3497.0
Synthetics,1880.0
NFT Lending,1875.75
CDP Manager,1798.0
Insurance,1788.0
Decentralized AI,1436.52
Video Infrastructure,1335.0
Interest Rate Derivatives,1314.0
Developer Tools,933.0
Leveraged Farming,849.0
Restaked BTC,822.0
Decentralized BTC,687.0
NFT Automated Strategies,591.0
Restaking,502.0
Security Extension,326.0
Token Locker,321.0
OTC Marketplace,182.0
DOR,167.0
Anchor BTC,102.38
Yield Lottery,78.67
Volume Boosting,75.12
NFT Launchpad,36.0
Identity & Reputation,24.09
Algo-Stables,2.22
Portfolio Tracker,0.04
Bridge Aggregators,0.01
